unique_id,Agreeableness,Openness,Conscientiousness,Extraversion,Neuroticism
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does censorship protect society or stifle freedom? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does privacy exist in the digital age? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is climate change an immediate global crisis? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is cryptocurrency the future of global finance? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is free speech under threat in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is free speech under threat in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is free speech under threat in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is free speech under threat in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is free speech under threat in the digital age? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is free speech under threat in the digital age? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is free speech under threat in the digital age? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is free speech under threat in the digital age? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is free speech under threat in the digital age? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is online privacy a myth in the modern world? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is social media a threat to democracy? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is space exploration worth the investment? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal basic income a solution to automation? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Is universal healthcare a basic human right? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Should artificial intelligence be used in military applications? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
