topic,Agreeableness,Openness,Conscientiousness,Extraversion,Neuroticism
Should the government provide free sanitation services?,76.39,75.98,60.85,73.04,73.46
Should the government provide free transportation for all?,58.5,75.55,89.44,50.41,67.61
Should the government provide free vocational training?,85.56,62.92,76.1,60.41,62.31
Should the government regulate the advertising industry?,75.34,62.51,62.37,73.28,75.59
Should the government regulate the art industry?,76.24,66.99,62.25,86.13,79.8
Should the government regulate the energy industry?,62.42,85.7,59.21,64.16,50.67
Should the government regulate the fashion industry?,50.84,74.99,63.83,88.06,76.12
Should the government regulate the film industry?,60.57,87.86,88.88,67.29,74.43
Should the government regulate the financial industry?,83.15,70.19,87.54,87.74,89.06
Should the government regulate the food industry?,63.06,73.07,84.01,73.52,50.28
Should the government regulate the gaming industry?,63.53,63.48,84.42,88.48,61.19
Should the government regulate the housing market?,60.01,69.6,83.79,58.35,88.41
Should the government regulate the insurance industry?,60.69,80.81,80.78,73.66,86.57
Should the government regulate the internet?,76.1,85.81,68.84,60.22,88.16
Should the government regulate the music industry?,81.81,64.94,72.24,73.25,78.98
Should the government regulate the pharmaceutical industry?,77.82,62.1,85.75,60.9,67.23
Should the government regulate the publishing industry?,78.66,66.48,89.31,86.75,68.06
Should the government regulate the telecommunications industry?,89.19,88.13,81.43,81.89,82.45
Should the government regulate the tourism industry?,66.75,81.24,69.07,71.38,67.22
Should the government regulate the transportation industry?,60.23,82.58,62.62,79.08,83.41
Should the government regulate the waste management industry?,65.23,84.78,80.21,85.74,62.55
Should the government regulate the water industry?,77.9,65.91,50.45,84.35,66.46
Should the legal drinking age be changed?,62.2,51.37,73.7,76.02,72.79
Should the use of drones be regulated?,76.77,68.32,60.13,74.18,69.29
Should the use of fossil fuels be banned?,62.12,87.87,88.95,62.35,71.0
Should the use of performance-enhancing drugs be allowed in sports?,60.67,71.24,82.95,75.77,73.1
Should the use of plastic be completely eliminated?,77.96,80.51,71.54,83.88,58.06
Should the voting age be lowered?,78.91,69.2,54.36,70.07,89.24
